epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,251.949,0.67823,0.58837,1.25816,0.97142,1,0.992,0.83712,0.6777,0.51917,1.51558,0.001274,0.001274,0.001274
57,256.424,0.60879,0.54607,1.22421,0.97325,1,0.995,0.8213,0.73843,0.50729,1.60848,0.0012608,0.0012608,0.0012608
58,260.709,0.65268,0.58246,1.28126,0.99759,1,0.995,0.78942,0.83355,0.51653,1.70296,0.0012476,0.0012476,0.0012476
59,265.099,0.66143,0.56947,1.2417,0.99522,1,0.995,0.824,0.73067,0.46768,1.55978,0.0012344,0.0012344,0.0012344
60,269.557,0.65296,0.59078,1.23668,0.9982,1,0.995,0.82411,0.73453,0.47341,1.55144,0.0012212,0.0012212,0.0012212
61,273.834,0.63276,0.5448,1.22944,0.99832,1,0.995,0.82113,0.72955,0.45296,1.54141,0.001208,0.001208,0.001208
62,278.204,0.65471,0.60555,1.23881,1,0.99863,0.995,0.79842,0.79489,0.44375,1.65451,0.0011948,0.0011948,0.0011948
63,282.503,0.63348,0.55473,1.22127,0.99908,0.97436,0.99402,0.81249,0.78342,0.46586,1.64616,0.0011816,0.0011816,0.0011816
64,286.9,0.68932,0.55302,1.23615,0.99714,0.94872,0.99256,0.81341,0.76717,0.46987,1.58435,0.0011684,0.0011684,0.0011684
65,291.271,0.67154,0.56514,1.24247,0.99477,0.94872,0.99123,0.8106,0.76276,0.50957,1.60961,0.0011552,0.0011552,0.0011552
66,295.649,0.59895,0.52786,1.17855,0.97432,0.97286,0.9928,0.81848,0.77069,0.50479,1.6248,0.001142,0.001142,0.001142
67,299.98,0.62489,0.55661,1.23414,1,0.99813,0.995,0.84168,0.69461,0.47024,1.55351,0.0011288,0.0011288,0.0011288
68,304.339,0.65429,0.5448,1.18905,1,0.9717,0.9945,0.82093,0.68527,0.47212,1.53164,0.0011156,0.0011156,0.0011156
69,308.803,0.61563,0.52634,1.20508,1,0.97246,0.99357,0.82202,0.68861,0.46721,1.52522,0.0011024,0.0011024,0.0011024
70,313.219,0.61293,0.49623,1.17697,0.96247,0.97436,0.99186,0.8256,0.69239,0.49975,1.51113,0.0010892,0.0010892,0.0010892
71,317.733,0.61119,0.49853,1.17175,0.99529,0.97436,0.99233,0.84279,0.66466,0.45275,1.46623,0.001076,0.001076,0.001076
72,322.298,0.62048,0.51941,1.20209,1,0.99649,0.995,0.84645,0.65258,0.44631,1.41972,0.0010628,0.0010628,0.0010628
73,326.842,0.61275,0.53167,1.1828,0.99755,1,0.995,0.84696,0.65813,0.43809,1.42321,0.0010496,0.0010496,0.0010496
74,331.349,0.61558,0.63672,1.19073,0.99899,1,0.995,0.80743,0.70943,0.45807,1.47592,0.0010364,0.0010364,0.0010364
75,335.831,0.60965,0.52802,1.18898,0.99909,1,0.995,0.82518,0.6782,0.45667,1.45244,0.0010232,0.0010232,0.0010232
76,340.376,0.65435,0.53644,1.21794,0.9963,1,0.995,0.83285,0.62772,0.43241,1.38182,0.00101,0.00101,0.00101
77,344.852,0.65652,0.51375,1.20762,0.99436,0.97436,0.99314,0.81609,0.70469,0.47181,1.4569,0.0009968,0.0009968,0.0009968
78,349.344,0.62268,0.479,1.19582,0.97134,0.97436,0.985,0.82285,0.66728,0.49761,1.43056,0.0009836,0.0009836,0.0009836
79,353.799,0.632,0.50572,1.18014,0.98565,0.97436,0.98868,0.81969,0.66061,0.53329,1.44995,0.0009704,0.0009704,0.0009704
80,358.254,0.60503,0.46619,1.21003,0.98732,0.97436,0.9906,0.81369,0.67272,0.50437,1.47217,0.0009572,0.0009572,0.0009572
81,362.756,0.60227,0.50664,1.19962,0.997,0.97436,0.99357,0.82694,0.66818,0.47372,1.45318,0.000944,0.000944,0.000944
82,367.225,0.58358,0.47902,1.17768,0.99827,0.97436,0.9945,0.82655,0.67539,0.4556,1.44804,0.0009308,0.0009308,0.0009308
83,371.593,0.61548,0.48092,1.20991,1,0.99837,0.995,0.84456,0.62394,0.41987,1.40456,0.0009176,0.0009176,0.0009176
84,375.86,0.60663,0.51693,1.18046,1,0.99894,0.995,0.83709,0.64475,0.39294,1.46095,0.0009044,0.0009044,0.0009044
85,380.233,0.64087,0.49758,1.2094,1,0.99859,0.995,0.82698,0.69587,0.41553,1.51628,0.0008912,0.0008912,0.0008912
86,384.63,0.61712,0.4771,1.19065,0.99718,0.97436,0.9945,0.81708,0.67926,0.40413,1.47848,0.000878,0.000878,0.000878
87,389.01,0.62733,0.50256,1.21167,1,0.99706,0.995,0.82609,0.67726,0.40381,1.46181,0.0008648,0.0008648,0.0008648
88,393.42,0.64356,0.51389,1.23261,1,0.99891,0.995,0.81105,0.72648,0.43533,1.49397,0.0008516,0.0008516,0.0008516
89,397.879,0.60625,0.4898,1.20937,0.99591,1,0.995,0.82004,0.68797,0.44541,1.4822,0.0008384,0.0008384,0.0008384
90,402.274,0.58525,0.50791,1.16893,0.99471,1,0.995,0.83692,0.67476,0.42984,1.47081,0.0008252,0.0008252,0.0008252
91,406.706,0.57574,0.43957,1.16381,1,0.99236,0.995,0.82086,0.65528,0.42505,1.45194,0.000812,0.000812,0.000812
92,411.042,0.57439,0.48803,1.18816,0.99689,1,0.995,0.82847,0.63951,0.40276,1.43135,0.0007988,0.0007988,0.0007988
93,415.513,0.5866,0.49971,1.19385,0.99861,1,0.995,0.83613,0.63964,0.40255,1.42264,0.0007856,0.0007856,0.0007856
94,419.871,0.56429,0.48961,1.18419,0.99883,1,0.995,0.83827,0.63676,0.37267,1.41988,0.0007724,0.0007724,0.0007724
95,424.271,0.5534,0.43505,1.14883,0.99859,1,0.995,0.84027,0.63473,0.37622,1.42467,0.0007592,0.0007592,0.0007592
96,428.773,0.53239,0.4162,1.10232,0.99825,1,0.995,0.83337,0.62829,0.38237,1.42173,0.000746,0.000746,0.000746
97,433.167,0.52989,0.49044,1.15381,0.99835,1,0.995,0.8324,0.63832,0.38013,1.43129,0.0007328,0.0007328,0.0007328
98,437.605,0.6341,0.47271,1.20586,0.99851,1,0.995,0.84305,0.61669,0.36322,1.4041,0.0007196,0.0007196,0.0007196
99,441.914,0.58723,0.45449,1.20977,0.99853,1,0.995,0.83928,0.60732,0.33942,1.3986,0.0007064,0.0007064,0.0007064
100,446.379,0.54042,0.42329,1.1404,0.99843,1,0.995,0.83842,0.61489,0.33841,1.39975,0.0006932,0.0006932,0.0006932
101,450.743,0.53711,0.42054,1.12093,0.99757,1,0.995,0.85442,0.63009,0.35192,1.4275,0.00068,0.00068,0.00068
102,455.176,0.51744,0.44512,1.11894,0.98215,1,0.995,0.86251,0.6207,0.38606,1.43058,0.0006668,0.0006668,0.0006668
103,459.543,0.56299,0.43657,1.17761,0.99818,1,0.995,0.86054,0.60921,0.34526,1.4034,0.0006536,0.0006536,0.0006536
104,463.998,0.5728,0.4242,1.18718,0.99837,1,0.995,0.84565,0.62296,0.35469,1.40442,0.0006404,0.0006404,0.0006404
105,468.383,0.54917,0.46454,1.15005,0.99379,1,0.995,0.85503,0.60727,0.34904,1.38722,0.0006272,0.0006272,0.0006272
106,472.932,0.52807,0.42833,1.13297,0.98536,1,0.995,0.85198,0.61438,0.35185,1.38723,0.000614,0.000614,0.000614
107,477.4,0.5303,0.44145,1.13805,0.97461,1,0.995,0.84813,0.62466,0.34838,1.39559,0.0006008,0.0006008,0.0006008
108,481.74,0.55042,0.42391,1.14721,1,0.99994,0.995,0.84118,0.63444,0.35799,1.42271,0.0005876,0.0005876,0.0005876
109,486.084,0.53061,0.42458,1.10246,0.99824,1,0.995,0.82598,0.65658,0.36414,1.4483,0.0005744,0.0005744,0.0005744
110,490.399,0.57104,0.42817,1.16222,0.99838,1,0.995,0.83223,0.6564,0.35998,1.45175,0.0005612,0.0005612,0.0005612
111,494.801,0.52651,0.43957,1.12872,0.99854,1,0.995,0.83169,0.66738,0.36544,1.48489,0.000548,0.000548,0.000548
112,499.221,0.54914,0.42395,1.13268,0.99869,1,0.995,0.82981,0.67318,0.37469,1.4892,0.0005348,0.0005348,0.0005348
113,503.752,0.53344,0.42871,1.15439,1,0.99849,0.995,0.82924,0.6942,0.39211,1.52132,0.0005216,0.0005216,0.0005216
114,508.287,0.49787,0.41333,1.15017,1,0.99882,0.995,0.82573,0.68934,0.39888,1.5207,0.0005084,0.0005084,0.0005084
115,512.77,0.47942,0.40814,1.10884,1,0.99788,0.995,0.83365,0.66583,0.38492,1.46996,0.0004952,0.0004952,0.0004952
116,517.521,0.48959,0.39514,1.1146,0.99869,1,0.995,0.83645,0.62833,0.3439,1.44621,0.000482,0.000482,0.000482
117,522.338,0.48896,0.42678,1.14626,0.9737,1,0.9945,0.82515,0.63855,0.35317,1.46456,0.0004688,0.0004688,0.0004688
118,527.247,0.52485,0.44245,1.10958,0.97367,1,0.99375,0.83698,0.65822,0.34857,1.50311,0.0004556,0.0004556,0.0004556
119,532.5,0.52527,0.41437,1.15971,0.97344,1,0.99375,0.83793,0.65319,0.34339,1.49379,0.0004424,0.0004424,0.0004424
120,537.29,0.50145,0.3895,1.10239,0.9733,1,0.9945,0.8427,0.65051,0.34597,1.46791,0.0004292,0.0004292,0.0004292
121,541.907,0.50276,0.42395,1.11357,0.99824,1,0.995,0.85716,0.62233,0.33564,1.42986,0.000416,0.000416,0.000416
122,546.813,0.49037,0.40879,1.08718,0.99812,1,0.995,0.85406,0.62174,0.34839,1.42764,0.0004028,0.0004028,0.0004028
123,551.703,0.52078,0.38523,1.14548,0.99792,1,0.995,0.85501,0.62423,0.35558,1.40888,0.0003896,0.0003896,0.0003896
124,556.363,0.50712,0.4281,1.10965,0.99778,1,0.995,0.85774,0.61761,0.35374,1.38927,0.0003764,0.0003764,0.0003764
125,561.285,0.51419,0.42423,1.11736,0.99792,1,0.995,0.85917,0.60644,0.32993,1.37354,0.0003632,0.0003632,0.0003632
126,566.307,0.45423,0.37296,1.07787,0.99827,1,0.995,0.8601,0.5886,0.35486,1.34871,0.00035,0.00035,0.00035
127,570.951,0.51465,0.4015,1.10251,0.99843,1,0.995,0.85547,0.59882,0.35803,1.35535,0.0003368,0.0003368,0.0003368
128,575.552,0.45014,0.35584,1.08017,0.99835,1,0.995,0.85082,0.59436,0.35739,1.35347,0.0003236,0.0003236,0.0003236
129,580.275,0.51957,0.41065,1.15338,0.9984,1,0.995,0.85234,0.59925,0.36104,1.35507,0.0003104,0.0003104,0.0003104
130,585.009,0.46647,0.39206,1.08787,0.99832,1,0.995,0.85337,0.59475,0.33448,1.35194,0.0002972,0.0002972,0.0002972
131,590.366,0.4639,0.3533,1.09929,0.99817,1,0.995,0.85961,0.58606,0.3237,1.34468,0.000284,0.000284,0.000284
132,595.228,0.49028,0.38737,1.13467,0.9983,1,0.995,0.86547,0.58106,0.31588,1.3482,0.0002708,0.0002708,0.0002708
133,599.955,0.50151,0.38831,1.07736,0.99815,1,0.995,0.86941,0.58762,0.32059,1.36105,0.0002576,0.0002576,0.0002576
134,604.635,0.47939,0.3935,1.12024,0.99809,1,0.995,0.86801,0.59145,0.32111,1.36718,0.0002444,0.0002444,0.0002444
135,609.369,0.45894,0.37627,1.10658,0.99825,1,0.995,0.86342,0.59001,0.32496,1.37887,0.0002312,0.0002312,0.0002312
136,614.173,0.46657,0.37561,1.08922,0.99807,1,0.995,0.86433,0.57964,0.32101,1.3642,0.000218,0.000218,0.000218
